match,group,team1,team2,gol1,gol1,pen1,pen2
01,a,bra,cro,0,0,0,0
02,a,mex,cmr,0,0,0,0
03,b,esp,ned,0,0,0,0
04,b,chi,aus,0,0,0,0
05,c,col,gre,0,0,0,0
06,c,civ,jpn,0,0,0,0
07,d,uru,crc,0,0,0,0
08,d,eng,ita,0,0,0,0
09,e,sui,ecu,0,0,0,0
10,e,fra,hon,0,0,0,0
11,f,arg,bih,0,0,0,0
12,f,irn,nga,0,0,0,0
13,g,ger,por,0,0,0,0
14,g,gha,usa,0,0,0,0
15,h,bel,alg,0,0,0,0
16,h,rus,kor,0,0,0,0
17,a,bra,mex,0,0,0,0
18,a,cmr,cro,0,0,0,0
19,b,esp,chi,0,0,0,0
20,b,aus,ned,0,0,0,0
21,c,col,civ,0,0,0,0
22,c,jpn,gre,0,0,0,0
23,d,uru,eng,0,0,0,0
24,d,ita,crc,0,0,0,0
25,e,sui,fra,0,0,0,0
26,e,hon,ecu,0,0,0,0
27,f,arg,irn,0,0,0,0
28,f,nga,bih,0,0,0,0
29,g,ger,gha,0,0,0,0
30,g,usa,por,0,0,0,0
31,h,bel,rus,0,0,0,0
32,h,kor,alg,0,0,0,0
33,a,cmr,bra,0,0,0,0
34,a,cro,mex,0,0,0,0
35,b,aus,esp,0,0,0,0
36,b,ned,chi,0,0,0,0
37,c,jpn,col,0,0,0,0
38,c,civ,gre,0,0,0,0
39,d,ita,uru,0,0,0,0
40,d,crc,eng,0,0,0,0
41,e,hon,sui,0,0,0,0
42,e,ecu,fra,0,0,0,0
43,f,nga,arg,0,0,0,0
44,f,bih,irn,0,0,0,0
45,g,usa,ger,0,0,0,0
46,g,por,gha,0,0,0,0
47,h,kor,bel,0,0,0,0
48,h,alg,rus,0,0,0,0
49,8,,,0,0,0,0
50,8,,,0,0,0,0
51,8,,,0,0,0,0
52,8,,,0,0,0,0
53,8,,,0,0,0,0
54,8,,,0,0,0,0
55,8,,,0,0,0,0
56,8,,,0,0,0,0
57,4,,,0,0,0,0
58,4,,,0,0,0,0
59,4,,,0,0,0,0
60,4,,,0,0,0,0
61,2,,,0,0,0,0
62,2,,,0,0,0,0
63,3,,,0,0,0,0
64,1,,,0,0,0,0