match,group,team1,team2,gol1,gol1,pen1,pen2,played
01,a,bra,cro,3,1,0,0,true
02,a,mex,cmr,1,0,0,0,true
03,b,esp,ned,1,5,0,0,true
04,b,chi,aus,3,1,0,0,true
05,c,col,gre,3,0,0,0,true
06,c,civ,jpn,2,1,0,0,true
07,d,uru,crc,1,3,0,0,true
08,d,eng,ita,1,2,0,0,true
09,e,sui,ecu,2,1,0,0,true
10,e,fra,hon,3,0,0,0,true
11,f,arg,bih,2,1,0,0,true
12,f,irn,nga,0,0,0,0,true
13,g,ger,por,4,0,0,0,true
14,g,gha,usa,1,2,0,0,true
15,h,bel,alg,2,1,0,0,true
16,h,rus,kor,1,1,0,0,true
17,a,bra,mex,0,0,0,0,true
18,a,cmr,cro,0,4,0,0,true
19,b,esp,chi,0,2,0,0,true
20,b,aus,ned,2,3,0,0,true
21,c,col,civ,2,1,0,0,true
22,c,jpn,gre,0,0,0,0,true
23,d,uru,eng,2,1,0,0,true
24,d,ita,crc,0,1,0,0,true
25,e,sui,fra,2,5,0,0,true
26,e,hon,ecu,1,2,0,0,true
27,f,arg,irn,1,0,0,0,true
28,f,nga,bih,1,0,0,0,true
29,g,ger,gha,2,2,0,0,true
30,g,usa,por,2,2,0,0,true
31,h,bel,rus,1,0,0,0,true
32,h,kor,alg,2,4,0,0,true
33,a,cmr,bra,1,4,0,0,true
34,a,cro,mex,1,3,0,0,true
35,b,aus,esp,0,3,0,0,true
36,b,ned,chi,2,0,0,0,true
37,c,jpn,col,1,4,0,0,true
38,c,civ,gre,1,2,0,0,true
39,d,ita,uru,0,1,0,0,true
40,d,crc,eng,0,0,0,0,true
41,e,hon,sui,0,3,0,0,true
42,e,ecu,fra,0,0,0,0,true
43,f,nga,arg,2,3,0,0,true
44,f,bih,irn,3,1,0,0,true
45,g,usa,ger,0,0,0,0,false
46,g,por,gha,0,0,0,0,false
47,h,kor,bel,0,0,0,0,false
48,h,alg,rus,0,0,0,0,false
49,8,,,0,0,0,0,false
50,8,,,0,0,0,0,false
51,8,,,0,0,0,0,false
52,8,,,0,0,0,0,false
53,8,,,0,0,0,0,false
54,8,,,0,0,0,0,false
55,8,,,0,0,0,0,false
56,8,,,0,0,0,0,false
57,4,,,0,0,0,0,false
58,4,,,0,0,0,0,false
59,4,,,0,0,0,0,false
60,4,,,0,0,0,0,false
61,2,,,0,0,0,0,false
62,2,,,0,0,0,0,false
63,3,,,0,0,0,0,false
64,1,,,0,0,0,0,false